                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.54718,                0.39209,                 1.0439,                0.90662,                0.88118,                0.93066,                0.76629,                0.74111,                0.53305,                 1.2091,               0.001882,               0.001882,               0.001882
                     84,                0.55529,                0.39514,                 1.0512,                0.90754,                0.87129,                0.92767,                0.76396,                0.76893,                0.54203,                 1.2388,               0.001783,               0.001783,               0.001783
                     85,                0.55898,                0.39306,                 1.0483,                0.91052,                0.87315,                0.92549,                0.76202,                0.75515,                0.51541,                 1.2373,               0.001684,               0.001684,               0.001684
                     86,                0.54429,                0.38367,                 1.0375,                0.92561,                0.87789,                0.93986,                0.77039,                0.73362,                0.50964,                 1.2078,               0.001585,               0.001585,               0.001585
                     87,                0.54489,                0.38532,                 1.0447,                0.92311,                0.86799,                0.93518,                0.76671,                0.73103,                0.52596,                 1.1963,               0.001486,               0.001486,               0.001486
                     88,                0.53602,                0.37731,                 1.0339,                  0.923,                 0.8704,                0.93077,                0.77022,                 0.7522,                0.52303,                 1.2278,               0.001387,               0.001387,               0.001387
                     89,                0.53357,                0.37892,                 1.0357,                0.92886,                0.86179,                0.93706,                0.77018,                0.73403,                0.50948,                 1.2145,               0.001288,               0.001288,               0.001288
                     90,                0.44573,                0.30469,                0.97369,                0.91673,                0.87203,                0.93566,                0.76875,                0.75113,                0.50591,                 1.2231,               0.001189,               0.001189,               0.001189
                     91,                0.43377,                0.29079,                0.97021,                0.92841,                0.87459,                0.93918,                 0.7723,                0.75333,                0.50003,                  1.222,                0.00109,                0.00109,                0.00109
                     92,                0.43187,                0.28649,                0.96347,                0.93387,                0.86222,                0.93878,                 0.7724,                0.76117,                0.51025,                  1.237,               0.000991,               0.000991,               0.000991
                     93,                0.43027,                0.28645,                0.96374,                0.94038,                0.85974,                0.93825,                0.77317,                0.76208,                 0.4938,                 1.2475,               0.000892,               0.000892,               0.000892
                     94,                0.42476,                 0.2807,                  0.965,                0.92757,                0.87129,                0.93799,                0.77114,                0.75039,                0.50033,                 1.2371,               0.000793,               0.000793,               0.000793
                     95,                0.41588,                0.28059,                0.95156,                0.91642,                0.88659,                0.93362,                0.77099,                0.74149,                0.49962,                 1.2312,               0.000694,               0.000694,               0.000694
                     96,                0.41839,                0.27339,                0.95872,                0.93164,                0.85974,                 0.9314,                0.77354,                 0.7414,                0.49618,                 1.2284,               0.000595,               0.000595,               0.000595
                     97,                0.40443,                0.26826,                0.94657,                0.93781,                0.86139,                0.93359,                0.77181,                0.74497,                0.50797,                 1.2316,               0.000496,               0.000496,               0.000496
                     98,                0.41058,                0.26777,                0.95391,                 0.9142,                0.87914,                0.93433,                0.77721,                0.73441,                0.50904,                  1.217,               0.000397,               0.000397,               0.000397
                     99,                0.40356,                0.26975,                0.95111,                0.91268,                0.88779,                0.93482,                0.77935,                0.73085,                 0.5023,                  1.208,               0.000298,               0.000298,               0.000298
